year,month,day,cases
2021,4,7,370
2021,4,8,316
2021,4,9,310
2021,4,10,319
2021,4,11,256
2021,4,12,328
2021,4,13,416
2021,4,14,489
2021,4,15,366
2021,4,16,390
2021,4,17,350
2021,4,18,237
2021,4,19,311
2021,4,20,464
2021,4,21,393
2021,4,22,343
2021,4,23,324
2021,4,24,233
2021,4,25,201
2021,4,26,327
2021,4,27,369
2021,4,28,321
2021,4,29,230
2021,4,30,275
2021,5,1,238
2021,5,2,182
2021,5,3,208
2021,5,4,231
2021,5,5,273
2021,5,6,219
2021,5,7,169
2021,5,8,140
2021,5,9,103
2021,5,10,156
2021,5,11,179
2021,5,12,151
2021,5,13,111
2021,5,14,122
2021,5,15,87
2021,5,16,117
2021,5,17,128
2021,5,18,124
2021,5,19,117
2021,5,20,97
2021,5,21,73
2021,5,22,72
2021,5,23,61
2021,5,24,88
2021,5,25,85
2021,5,26,77
2021,5,27,72
2021,5,28,72
2021,5,29,45
2021,5,30,43
2021,5,31,44
2021,6,1,71
2021,6,2,65
2021,6,3,41
2021,6,4,45
2021,6,5,38
2021,6,6,40
2021,6,7,50
2021,6,8,50
2021,6,9,40
2021,6,10,46
2021,6,11,30
2021,6,12,34
2021,6,13,21
2021,6,14,30
2021,6,15,27
2021,6,16,25
2021,6,17,31
2021,6,18,26
2021,6,19,17
2021,6,20,17
2021,6,21,28
2021,6,22,22
2021,6,23,26
2021,6,24,23
2021,6,25,16
2021,6,26,16
2021,6,27,16
2021,6,28,45
2021,6,29,33
2021,6,30,46
2021,7,1,20
2021,7,2,31
2021,7,3,27
2021,7,4,20
2021,7,5,28
2021,7,6,50
2021,7,7,24
2021,7,8,43
2021,7,9,28
2021,7,10,26
2021,7,11,39
2021,7,12,52
2021,7,13,45
2021,7,14,51
2021,7,15,37
2021,7,16,49
2021,7,17,37
2021,7,18,38
2021,7,19,73
2021,7,20,78
2021,7,21,56
2021,7,22,52
2021,7,23,53
2021,7,24,49
2021,7,25,42
2021,7,26,74
2021,7,27,64
2021,7,28,57
2021,7,29,58
2021,7,30,58
2021,7,31,60
2021,8,1,43
2021,8,2,74
2021,8,3,59
2021,8,4,72
2021,8,5,53
2021,8,6,68
2021,8,7,56
2021,8,8,63
2021,8,9,95
2021,8,10,79
2021,8,11,82
2021,8,12,89
2021,8,13,87
2021,8,14,90
2021,8,15,88
2021,8,16,145
2021,8,17,121
2021,8,18,137
2021,8,19,123
2021,8,20,150
2021,8,21,160
2021,8,22,119
2021,8,23,194
2021,8,24,207
2021,8,25,272
2021,8,26,242
2021,8,27,206
2021,8,28,223
2021,8,29,171
2021,8,30,271
2021,8,31,307
2021,9,1,311
2021,9,2,313
2021,9,3,281
2021,9,4,251
2021,9,5,188
2021,9,6,256
2021,9,7,281
2021,9,8,313
2021,9,9,259
2021,9,10,282
2021,9,11,243
2021,9,12,173
2021,9,13,241
2021,9,14,293
2021,9,15,304
2021,9,16,307
2021,9,17,250
2021,9,18,192
2021,9,19,161
2021,9,20,288
2021,9,21,294
2021,9,22,246
2021,9,23,250
2021,9,24,263
2021,9,25,187
2021,9,26,175
2021,9,27,279
2021,9,28,338
2021,9,29,273
2021,9,30,232
2021,10,1,265
2021,10,2,200
2021,10,3,168
2021,10,4,262
2021,10,5,307
2021,10,6,254
2021,10,7,240
2021,10,8,241
2021,10,9,233
2021,10,10,179
2021,10,11,260
2021,10,12,322
2021,10,13,298
2021,10,14,327
2021,10,15,404
2021,10,16,290
2021,10,17,232
2021,10,18,413
2021,10,19,512
2021,10,20,442
2021,10,21,460
2021,10,22,482
2021,10,23,384
2021,10,24,310
2021,10,25,508
2021,10,26,670
2021,10,27,549
2021,10,28,584
2021,10,29,584
2021,10,30,481
2021,10,31,391
2021,11,1,558
2021,11,2,773
2021,11,3,810
2021,11,4,603
2021,11,5,512
2021,11,6,438
2021,11,7,411
2021,11,8,658
2021,11,9,764
2021,11,10,932
2021,11,11,1026
2021,11,12,1218
2021,11,13,1134
2021,11,14,1178
2021,11,15,1362
2021,11,16,1715
2021,11,17,2218
2021,11,18,1309
2021,11,19,1233
2021,11,20,875
2021,11,21,976
2021,11,22,872
2021,11,23,1307
2021,11,24,1374
2021,11,25,1143
2021,11,26,832
2021,11,27,858
2021,11,28,759
2021,11,29,711
2021,11,30,1071
2021,12,1,1289
2021,12,2,931
2021,12,3,827
2021,12,4,635
2021,12,5,577
2021,12,6,520
2021,12,7,937
2021,12,8,709
2021,12,9,589
2021,12,10,566
2021,12,11,385
2021,12,12,355
2021,12,13,456
2021,12,14,650
2021,12,15,583
2021,12,16,457
2021,12,17,541
2021,12,18,324
2021,12,19,381
2021,12,20,426
2021,12,21,547
2021,12,22,488
2021,12,23,472
2021,12,24,436
2021,12,25,248
2021,12,26,506
2021,12,27,711
2021,12,28,655
2021,12,29,665
2021,12,30,647
2021,12,31,532
2022,1,1,476
2022,1,2,883
2022,1,3,1249
2022,1,4,1174
2022,1,5,1367
2022,1,6,1344
2022,1,7,1454
2022,1,8,1429
2022,1,9,1433
2022,1,10,2164
2022,1,11,2318
2022,1,12,2302
2022,1,13,2230
2022,1,14,2334
2022,1,15,2385
2022,1,16,2601
2022,1,17,3056
2022,1,18,3659
2022,1,19,3562
2022,1,20,3885
2022,1,21,4448
2022,1,22,3091
2022,1,23,3919
2022,1,24,5029
2022,1,25,4538
2022,1,26,4135
2022,1,27,3820
2022,1,28,3848
2022,1,29,2848
2022,1,30,3690
2022,1,31,4769
2022,2,1,4829
2022,2,2,5083
2022,2,3,6181
2022,2,4,5318
2022,2,5,3484
2022,2,6,3874
2022,2,7,4036
2022,2,8,4531
2022,2,9,4464
2022,2,10,4230
2022,2,11,3669
2022,2,12,2074
2022,2,13,2272
2022,2,14,2792
2022,2,15,3618
2022,2,16,4231
2022,2,17,3687
2022,2,18,3237
2022,2,19,1953
2022,2,20,2115
2022,2,21,2554
2022,2,22,3307
2022,2,23,3273
2022,2,24,3284
2022,2,25,2737
2022,2,26,1716
2022,2,27,2036
2022,2,28,2557
2022,3,1,2335
2022,3,2,3697
2022,3,3,3228
2022,3,4,2862
2022,3,5,1931
2022,3,6,2639
2022,3,7,3241
2022,3,8,3926
2022,3,9,4118
2022,3,10,4310
2022,3,11,3926
2022,3,12,3414
2022,3,13,3642
2022,3,14,4158
2022,3,15,4470
2022,3,16,4564
2022,3,17,4453
2022,3,18,4312
2022,3,19,3079
2022,3,20,3945
2022,3,21,4407
2022,3,22,4556
2022,3,23,4750
2022,3,24,4709
2022,3,25,3948
2022,3,26,3008
2022,3,27,3354
2022,3,28,4377
2022,3,29,4446
2022,3,30,4620
2022,3,31,3547
2022,4,1,2802
2022,4,2,1901
2022,4,3,1780
2022,4,4,2138
2022,4,5,2576
2022,4,6,3147
2022,4,7,2886
2022,4,8,2398
2022,4,9,1552
2022,4,10,1257
2022,4,11,1737
2022,4,12,2284
2022,4,13,2010
2022,4,14,1967
2022,4,15,1309
2022,4,16,1112
2022,4,17,969
2022,4,18,914
2022,4,19,1491
2022,4,20,1992
2022,4,21,1751
2022,4,22,1286
2022,4,23,1116
2022,4,24,1142
2022,4,25,1359
2022,4,26,1897
2022,4,27,1644
2022,4,28,1394
2022,4,29,1020
2022,4,30,1283
2022,5,1,1145
2022,5,2,1296
2022,5,3,1713
2022,5,4,1566
2022,5,5,1349
2022,5,6,1216
2022,5,7,982
2022,5,8,820
2022,5,9,1049
2022,5,10,1424
2022,5,11,1316
2022,5,12,1208
2022,5,13,951
2022,5,14,764
2022,5,15,625
2022,5,16,786
2022,5,17,886
2022,5,18,847
2022,5,19,787
2022,5,20,684
2022,5,21,451
2022,5,22,376
2022,5,23,527
2022,5,24,758
2022,5,25,571
2022,5,26,459
2022,5,27,355
2022,5,28,508
2022,5,29,372
2022,5,30,481
2022,5,31,832
2022,6,1,733
2022,6,2,617
2022,6,3,664
2022,6,4,274
2022,6,5,307
2022,6,6,308
2022,6,7,1287
2022,6,8,1220
2022,6,9,1003
2022,6,10,905
2022,6,11,277
2022,6,12,287
2022,6,13,1419
2022,6,14,1243
2022,6,15,1077
2022,6,16,335
2022,6,17,1179
2022,6,18,396
2022,6,19,452
2022,6,20,1505
2022,6,21,1649
2022,6,22,1810
2022,6,23,1659
2022,6,24,1261
2022,6,25,436
2022,6,26,535
2022,6,27,2041
2022,6,28,1764
2022,6,29,1952
2022,6,30,1916
2022,7,1,1623
2022,7,2,514
2022,7,3,598
2022,7,4,2599
2022,7,5,2490
2022,7,6,2171
2022,7,7,2457
2022,7,8,1728
2022,7,9,501
2022,7,10,586
2022,7,11,2497
2022,7,12,2699
2022,7,13,2346
2022,7,14,2107
2022,7,15,2242
2022,7,16,556
2022,7,17,619
2022,7,18,2676
2022,7,19,2717
2022,7,20,2735
2022,7,21,2502
2022,7,22,1859
2022,7,23,386
2022,7,24,337
2022,7,25,2232
