date	agegroup	sari_covid19_incidence
2021-W11	00+	8.0
2021-W12	60-79	18.8
2021-W12	80+	33.4
2021-W12	00+	10.3
2021-W13	60-79	21.4
2021-W13	80+	27.2
2021-W13	00+	11.5
2021-W14	60-79	22.5
2021-W14	80+	30.4
2021-W14	00+	12.4
2021-W15	60-79	22.0
2021-W15	80+	30.8
2021-W15	00+	11.5
2021-W16	60-79	22.9
2021-W16	80+	28.8
2021-W16	00+	12.7
2021-W17	60-79	21.4
2021-W17	80+	27.9
2021-W17	00+	11.5
2021-W18	60-79	13.3
2021-W18	80+	16.8
2021-W18	00+	7.4
2021-W19	60-79	11.4
2021-W19	80+	14.6
2021-W19	00+	6.5
2021-W20	60-79	8.1
2021-W20	80+	12.0
2021-W20	00+	4.8
2021-W21	60-79	3.6
2021-W21	80+	5.8
2021-W21	00+	2.3
2021-W22	60-79	2.9
2021-W22	80+	2.9
2021-W22	00+	1.9
2021-W23	60-79	0.9
2021-W23	80+	1.3
2021-W23	00+	0.9
2021-W24	60-79	0.8
2021-W24	80+	0.3
2021-W24	00+	0.4
2021-W25	60-79	0.2
2021-W25	80+	0.0
2021-W25	00+	0.3
2021-W26	60-79	0.1
2021-W26	80+	0.3
2021-W26	00+	0.2
2021-W27	60-79	0.2
2021-W27	80+	0.0
2021-W27	00+	0.2
2021-W28	60-79	0.4
2021-W28	80+	1.0
2021-W28	00+	0.3
2021-W29	60-79	0.2
2021-W29	80+	1.0
2021-W29	00+	0.6
2021-W30	60-79	0.5
2021-W30	80+	0.0
2021-W30	00+	0.4
2021-W31	60-79	0.9
2021-W31	80+	1.9
2021-W31	00+	1.0
2021-W32	60-79	1.9
2021-W32	80+	1.9
2021-W32	00+	1.6
2021-W33	60-79	1.7
2021-W33	80+	2.9
2021-W33	00+	1.7
2021-W34	60-79	2.2
2021-W34	80+	4.9
2021-W34	00+	3.2
2021-W35	60-79	3.3
2021-W35	80+	5.5
2021-W35	00+	3.2
2021-W36	60-79	2.5
2021-W36	80+	5.5
2021-W36	00+	3.0
2021-W37	60-79	3.8
2021-W37	80+	5.8
2021-W37	00+	2.9
2021-W38	60-79	4.1
2021-W38	80+	6.5
2021-W38	00+	2.8
2021-W39	60-79	3.5
2021-W39	80+	7.1
2021-W39	00+	2.7
2021-W40	60-79	3.5
2021-W40	80+	8.4
2021-W40	00+	2.8
2021-W41	60-79	3.8
2021-W41	80+	11.0
2021-W41	00+	3.1
2021-W42	60-79	8.8
2021-W42	80+	25.3
2021-W42	00+	5.7
2021-W43	60-79	13.0
2021-W43	80+	35.3
2021-W43	00+	7.6
2021-W44	60-79	16.1
2021-W44	80+	39.5
2021-W44	00+	8.9
2021-W45	60-79	15.3
2021-W45	80+	47.6
2021-W45	00+	9.8
2021-W46	60-79	20.5
2021-W46	80+	62.2
2021-W46	00+	12.5
2021-W47	60-79	21.8
2021-W47	80+	62.8
2021-W47	00+	13.5
2021-W48	60-79	24.1
2021-W48	80+	52.8
2021-W48	00+	13.5
2021-W49	60-79	22.4
2021-W49	80+	48.3
2021-W49	00+	12.4
2021-W50	60-79	15.7
2021-W50	80+	36.3
2021-W50	00+	9.3
2021-W51	60-79	9.5
2021-W51	80+	21.7
2021-W51	00+	5.4
2021-W52	60-79	5.3
2021-W52	80+	17.8
2021-W52	00+	4.1
2022-W01	60-79	10.2
2022-W01	80+	20.1
2022-W01	00+	5.8
2022-W02	60-79	8.5
2022-W02	80+	14.9
2022-W02	00+	4.7
2022-W03	60-79	5.1
2022-W03	80+	19.8
2022-W03	00+	4.3
2022-W04	60-79	7.5
2022-W04	80+	26.2
2022-W04	00+	5.5
2022-W05	60-79	9.3
2022-W05	80+	29.2
2022-W05	00+	6.2
2022-W06	60-79	11.0
2022-W06	80+	33.4
2022-W06	00+	6.9
2022-W07	60-79	8.6
2022-W07	80+	34.7
2022-W07	00+	5.9
2022-W08	60-79	9.0
2022-W08	80+	39.8
2022-W08	00+	6.1
2022-W09	60-79	10.0
2022-W09	80+	46.3
2022-W09	00+	6.8
2022-W10	60-79	11.3
2022-W10	80+	50.5
2022-W10	00+	7.3
2022-W11	60-79	11.7
2022-W11	80+	51.5
2022-W11	00+	7.6
2022-W12	60-79	11.0
2022-W12	80+	50.5
2022-W12	00+	7.3
2022-W13	60-79	8.8
2022-W13	80+	43.1
2022-W13	00+	6.3
2022-W14	60-79	7.8
2022-W14	80+	35.6
2022-W14	00+	5.1
2022-W15	60-79	5.3
2022-W15	80+	30.1
2022-W15	00+	4.1
2022-W16	60-79	4.9
2022-W16	80+	27.2
2022-W16	00+	3.5
2022-W17	60-79	4.8
2022-W17	80+	20.1
2022-W17	00+	2.8
2022-W18	60-79	3.8
2022-W18	80+	21.4
2022-W18	00+	3.0
2022-W19	60-79	3.0
2022-W19	80+	16.2
2022-W19	00+	2.2
2022-W20	60-79	2.5
2022-W20	80+	9.1
2022-W20	00+	1.4
2022-W21	60-79	2.3
2022-W21	80+	8.1
2022-W21	00+	1.3
2022-W22	60-79	2.1
2022-W22	80+	6.8
2022-W22	00+	1.3
2022-W23	60-79	3.2
2022-W23	80+	12.6
2022-W23	00+	2.0
2022-W24	60-79	3.8
2022-W24	80+	13.0
2022-W24	00+	2.3
2022-W25	60-79	5.8
2022-W25	80+	24.6
2022-W25	00+	3.6
2022-W26	60-79	6.7
2022-W26	80+	30.8
2022-W26	00+	4.4
2022-W27	60-79	6.3
2022-W27	80+	30.8
2022-W27	00+	4.3
2022-W28	60-79	7.2
2022-W28	80+	34.7
2022-W28	00+	4.7
2022-W29	60-79	9.5
2022-W29	80+	46.3
2022-W29	00+	6.1
2022-W30	60-79	6.1
2022-W30	80+	26.6
2022-W30	00+	3.8
2022-W31	60-79	6.9
2022-W31	80+	27.5
2022-W31	00+	4.0
2022-W32	60-79	3.6
2022-W32	80+	22.0
2022-W32	00+	2.8
2022-W33	60-79	4.4
2022-W33	80+	19.4
2022-W33	00+	3.0
2022-W34	60-79	3.0
2022-W34	80+	19.1
2022-W34	00+	2.2
2022-W35	60-79	3.1
2022-W35	80+	13.6
2022-W35	00+	1.9
2022-W36	60-79	4.0
2022-W36	80+	17.8
2022-W36	00+	2.7
2022-W37	60-79	3.8
2022-W37	80+	17.5
2022-W37	00+	2.4
2022-W38	60-79	5.0
2022-W38	80+	31.4
2022-W38	00+	3.8
2022-W39	60-79	9.5
2022-W39	80+	47.6
2022-W39	00+	6.1
2022-W40	60-79	10.9
2022-W40	80+	60.2
2022-W40	00+	7.3
2022-W41	60-79	11.0
2022-W41	80+	59.3
2022-W41	00+	7.5
2022-W42	60-79	12.3
2022-W42	80+	48.6
2022-W42	00+	7.1
2022-W43	60-79	9.6
2022-W43	80+	37.6
2022-W43	00+	5.4
2022-W44	60-79	4.3
2022-W44	80+	26.9
2022-W44	00+	3.4
2022-W45	60-79	5.3
2022-W45	80+	21.4
2022-W45	00+	3.0
2022-W46	60-79	5.8
2022-W46	80+	18.1
2022-W46	00+	3.2
2022-W47	60-79	5.4
2022-W47	80+	27.2
2022-W47	00+	3.8
2022-W48	60-79	5.2
2022-W48	80+	31.7
2022-W48	00+	4.0
2022-W49	60-79	7.2
2022-W49	80+	38.5
2022-W49	00+	5.0
2022-W50	60-79	7.6
2022-W50	80+	47.0
2022-W50	00+	5.7
2022-W51	60-79	9.0
2022-W51	80+	50.9
2022-W51	00+	6.4
2022-W52	60-79	10.1
2022-W52	80+	47.6
2022-W52	00+	6.2
2023-W01	60-79	7.3
2023-W01	80+	36.9
2023-W01	00+	4.7
2023-W02	60-79	3.4
2023-W02	80+	17.7
2023-W02	00+	2.5
2023-W03	60-79	3.1
2023-W03	80+	13.8
2023-W03	00+	2.0
2023-W04	60-79	1.5
2023-W04	80+	16.8
2023-W04	00+	1.9
2023-W05	60-79	3.0
2023-W05	80+	19.2
2023-W05	00+	2.4
2023-W06	60-79	5.3
2023-W06	80+	20.7
2023-W06	00+	3.2
2023-W07	60-79	5.3
2023-W07	80+	23.7
2023-W07	00+	3.2
2023-W08	60-79	6.7
2023-W08	80+	27.6
2023-W08	00+	4.3
2023-W09	60-79	7.5
2023-W09	80+	32.7
2023-W09	00+	4.5
2023-W10	60-79	6.0
2023-W10	80+	36.6
2023-W10	00+	4.5
2023-W11	60-79	8.9
2023-W11	80+	37.8
2023-W11	00+	5.3
2023-W12	60-79	6.7
2023-W12	80+	33.0
2023-W12	00+	4.6
2023-W13	60-79	5.4
2023-W13	80+	23.1
2023-W13	00+	3.3
2023-W14	60-79	3.8
2023-W14	80+	25.5
2023-W14	00+	3.2
2023-W15	60-79	3.6
2023-W15	80+	18.0
2023-W15	00+	2.5
2023-W16	60-79	3.2
2023-W16	80+	10.8
2023-W16	00+	1.8
2023-W17	60-79	2.1
2023-W17	80+	12.3
2023-W17	00+	1.8
2023-W18	60-79	3.1
2023-W18	80+	11.1
2023-W18	00+	1.7
2023-W19	60-79	3.5
2023-W19	80+	8.1
2023-W19	00+	1.6
2023-W20	60-79	2.3
2023-W20	80+	10.2
2023-W20	00+	1.4
2023-W21	60-79	1.6
2023-W21	80+	5.4
2023-W21	00+	0.9
2023-W22	60-79	1.1
2023-W22	80+	2.7
2023-W22	00+	0.6
2023-W23	60-79	1.5
2023-W23	80+	3.3
2023-W23	00+	0.6
2023-W24	60-79	1.1
2023-W24	80+	2.4
2023-W24	00+	0.5
2023-W25	60-79	0.6
2023-W25	80+	0.9
2023-W25	00+	0.2
2023-W26	60-79	0.5
2023-W26	80+	1.2
2023-W26	00+	0.2
2023-W27	60-79	0.4
2023-W27	80+	0.3
2023-W27	00+	0.1
2023-W28	60-79	0.5
2023-W28	80+	2.1
2023-W28	00+	0.3
2023-W29	60-79	0.7
2023-W29	80+	1.5
2023-W29	00+	0.3
2023-W30	60-79	0.6
2023-W30	80+	2.1
2023-W30	00+	0.4
2023-W31	60-79	0.5
2023-W31	80+	3.0
2023-W31	00+	0.4
2023-W32	60-79	0.8
2023-W32	80+	3.6
2023-W32	00+	0.5
2023-W33	60-79	1.7
2023-W33	80+	7.8
2023-W33	00+	1.1
2023-W34	60-79	1.4
2023-W34	80+	4.5
2023-W34	00+	0.9
2023-W35	60-79	1.8
2023-W35	80+	7.5
2023-W35	00+	1.2
2023-W36	60-79	2.4
2023-W36	80+	12.6
2023-W36	00+	1.8
2023-W37	60-79	2.2
2023-W37	80+	12.6
2023-W37	00+	1.7
2023-W38	60-79	3.0
2023-W38	80+	13.2
2023-W38	00+	1.9
2023-W39	60-79	3.2
2023-W39	80+	18.3
2023-W39	00+	2.4
2023-W40	60-79	3.2
2023-W40	80+	23.7
2023-W40	00+	2.8
2023-W41	60-79	4.4
2023-W41	80+	30.0
2023-W41	00+	3.6
2023-W42	60-79	6.4
2023-W42	80+	34.8
2023-W42	00+	4.5
2023-W43	60-79	7.5
2023-W43	80+	37.8
2023-W43	00+	5.1
2023-W44	60-79	9.5
2023-W44	80+	43.2
2023-W44	00+	6.3
2023-W45	60-79	7.7
2023-W45	80+	44.1
2023-W45	00+	5.7
2023-W46	60-79	8.2
2023-W46	80+	41.1
2023-W46	00+	5.8
2023-W47	60-79	9.2
2023-W47	80+	43.8
2023-W47	00+	6.3
2023-W48	60-79	7.9
2023-W48	80+	39.0
2023-W48	00+	5.5
2023-W49	60-79	6.2
2023-W49	80+	35.7
2023-W49	00+	4.7
